,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
118,aprovechar,0.0,0.0,0.0,1.0,0.0
119,argumentación,0.0,0.0,0.0,0.0,0.0
120,argumento,0.0,0.0,0.0,0.0,0.0
121,armado,1.0,0.0,0.0,0.0,1.0
122,armas (de fuego),1.0,0.0,0.0,0.0,1.0
123,absorto,0.0,0.0,0.0,0.0,0.0
124,arma,1.0,0.0,0.0,0.0,1.0
125,arriesgado,0.0,0.0,0.0,1.0,0.0
126,arriesgada,0.0,0.0,0.0,1.0,0.0
127,arriesgadas,0.0,0.0,0.0,1.0,0.0
128,arriesgados,0.0,0.0,0.0,1.0,0.0
129,asar,0.0,0.0,0.0,0.0,0.0
130,asco,1.0,0.0,0.0,0.0,1.0
131,asesinar,1.0,0.0,0.0,0.0,1.0
132,asfixia,0.0,0.0,0.0,0.0,1.0
133,asfixia,0.0,0.0,0.0,0.0,1.0
134,asilo,0.0,0.0,0.0,0.0,0.0
135,asombro,0.0,0.0,0.0,0.0,0.0
136,asombroso,0.0,0.0,0.0,1.0,0.0
137,asustadísimo,0.0,1.0,0.0,0.0,1.0
138,asustado,0.0,1.0,0.0,0.0,1.0
139,asustar,0.0,1.0,0.0,0.0,1.0
140,asustarse,0.0,1.0,0.0,0.0,1.0
141,atacar,1.0,0.0,0.0,0.0,1.0
142,ataques,1.0,0.0,0.0,0.0,1.0
143,ataque,1.0,0.0,0.0,0.0,1.0
144,aterrada,0.0,1.0,0.0,0.0,1.0
145,aterrador,0.0,1.0,0.0,0.0,1.0
146,aterroriza,0.0,1.0,0.0,0.0,1.0
147,aterrorizar,0.0,1.0,0.0,0.0,1.0
148,atornillado,0.0,0.0,0.0,0.0,0.0
149,aterrorizado,0.0,1.0,0.0,0.0,1.0
150,atroz,1.0,0.0,0.0,0.0,1.0
151,atropello,1.0,0.0,0.0,0.0,1.0
152,aturdido,0.0,1.0,0.0,0.0,1.0
153,aturdida,0.0,1.0,0.0,0.0,1.0
154,aturdidas,0.0,1.0,0.0,0.0,1.0
155,aturdidos,0.0,1.0,0.0,0.0,1.0
156,auténtico,0.0,0.0,0.0,1.0,0.0
157,auténtica,0.0,0.0,0.0,1.0,0.0
158,auténticas,0.0,0.0,0.0,1.0,0.0
159,auténticos,0.0,0.0,0.0,1.0,0.0
160,autopsia,0.0,0.0,0.0,0.0,0.0
